name,suburb,category,lng,lat,value,vouchers
Asian Supa,Belconnen,retail,149.0599495,-35.2421334,20390,592
Backbone BMX,Belconnen,retail,149.0714301,-35.2383181,680,16
Belco Halal Kebabs & Pizzeria,Belconnen,food & drinks,149.0638879,-35.2409031,1170,49
Belconnen Chicken,Belconnen,food & drinks,149.0673342,-35.2381662,2460,130
Belconnen Ski N Board,Belconnen,retail,149.0640378,-35.24168976,1120,28
Cafe @ Belco,Belconnen,food & drinks,149.0677795,-35.2369185,10,1
Cafe Cherry Beans Belconnen,Belconnen,food & drinks,149.065187,-35.2378367,10,1
Can Tho Vietnamese & Chinese Restaurant,Belconnen,food & drinks,149.063062,-35.24181,2300,116
Canberra City Gymnastics Club,Belconnen,things to do,149.0714452,-35.2427488,7270,149
Chatime Belconnen,Belconnen,food & drinks,149.0650422,-35.2380765,1160,58
Chemist Warehouse Belconnen Markets — Ibbott Lane,Belconnen,retail,149.0645897,-35.2461471,57190,1366
Chong Co Thai Belconnen,Belconnen,food & drinks,149.0650422,-35.2380765,2840,86
Cup of Joy,Belconnen,food & drinks,149.0650422,-35.2380765,130,7
Dee's Book & Comic Shop,Belconnen,retail,149.0630036,-35.2395443,2740,65
Dewok Noodle Bar,Belconnen,food & drinks,149.0673342,-35.2381662,800,34
Dhaka Cafe & Indian Restaurant,Belconnen,food & drinks,149.0608996,-35.23873548,450,14
Dymocks Belconnen,Belconnen,retail,149.0650422,-35.2380765,6930,220
EasyWay Belconnen,Belconnen,food & drinks,149.0650422,-35.2380765,810,34
Grappling Bros,Belconnen,things to do,149.0610918,-35.2376816,150,3
Growers Market Express,Belconnen,retail,149.0653636,-35.2458145,970,23
Hachiko Western Japanese Fusion,Belconnen,food & drinks,149.0700087,-35.2361286,360,12
Indepth Scuba,Belconnen,retail,149.058791,-35.241513,3770,76
Jade Spa Massage,Belconnen,retail,149.0678662,-35.2426183,3310,75
K Bar Karaoke,Belconnen,food & drinks,149.0700226,-35.2360725,1480,35
Knead Patisserie,Belconnen,food & drinks,149.0653649,-35.2458415,530,41
Koku Super Kare,Belconnen,food & drinks,149.0676271,-35.2423054,720,38
Lighthouse Pub,Belconnen,food & drinks,149.0748244,-35.2398237,430,23
Little Sandpiper,Belconnen,things to do,149.0650422,-35.2380765,3840,99
Luminous Hair Salon,Belconnen,retail,149.0591833,-35.2413801,120,3
Master Hin Dumplings,Belconnen,food & drinks,149.0650422,-35.2380765,70,5
Milk Flower Belconnen,Belconnen,food & drinks,149.0676271,-35.2423054,1640,85
Mirtsch Brero,Belconnen,food & drinks,149.0713962,-35.2369836,30,3
Neutral Grounds,Belconnen,food & drinks,149.0594735,-35.2423562,300,13
Orange Bean Cafe,Belconnen,food & drinks,149.0670314,-35.2378999,520,13
Oriental Groceries,Belconnen,retail,149.0630622,-35.2418099,37710,953
Panda Crepes,Belconnen,food & drinks,149.0650422,-35.2380765,1160,78
Pandora Belconnen & Pandora Canberra Centre,Belconnen,retail,149.0650422,-35.2380765,15470,345
