business,vouchers,value
Daily Market City & Gungahlin,1918,67700.0
Hualong Supermarket,1584,61300.0
Chemist Warehouse Belconnen Markets- Ibbott lane,1366,57190.0
Deji Asian Supermarket,1286,44850.0
Oriental Groceries,953,37710.0
Panda fresh mart,927,23320.0
Mega Convenience Store,890,29600.0
Mani asian supermarket,883,29990.0
Wukong Hotpot & Super Emoji,878,29810.0
BESTORE,877,35900.0
"SAIGON ASIAN FOOD, RETAIL & WHOLESALE",764,30510.0
Fresco Seafood,723,23510.0
Sycamore Medi Spa,662,28840.0
EBEST CANBERRA,621,23720.0
Asian Supa,592,20390.0
EasiMart Kingston,548,13600.0
Z COSME STORE,543,21010.0
YumchaCBD,531,19100.0
Vina Groceries,524,18050.0
Ginger and Spice,499,17030.0
CHILADA/ VR Canberra,489,19630.0
Emart,460,15500.0
Desi Bazzar,447,19070.0
TAK KEE ROAST INN,418,9300.0
The Food Forum,414,10560.0
Oscar's Bakery Cafe,408,17980.0
Yesmart,396,13830.0
Gungahlin & Jamison Plaza Travel Associates,385,19160.0
Raku Dining,371,18230.0
LOST RIVER MEAT,371,12920.0
Gungahlin Lakes Golf Pro Shop,350,16760.0
Pandora Belconnen and Pandora Canberra Centre,345,15470.0
MK Butcher,344,11110.0
Weston asian grocery,339,11590.0
Nikki Cosmo,324,13330.0
Toyworld Fyshwick & Toyworld Belconnen,302,12140.0
Super Emoji Citywalk,302,7800.0
Dymocks Canberra,286,10160.0
coolbuy,283,10150.0
Jimmyâ€™s place,278,10610.0
hing shing butchery/å…´ç››è‚‰åº—,273,8200.0
606 Asian Supermarket,272,8770.0
ACT FRUIT VEG AND BUTCHER,270,9760.0
National Zoo & Aquarium,261,12240.0
Golden Drum,257,9980.0
Deakin IGA Supermarket,253,8720.0
Ai Buy Market,245,5720.0
UC Supermarket,243,7600.0
Dendy Cinemas Canberra,236,6560.0
Rashays Casual Dining Belconnen,231,6430.0
The Scholar Chinese Seafood Restaurant,230,7650.0
Bellchambers Music School,225,11100.0
Little Sprout,225,9780.0
Chinese Inn Restaurant,223,7000.0
rusden europro automotive,222,10260.0
Dymocks Belconnen,220,6930.0
Tasty Fish,214,5310.0
Mont Adventure Equipment,213,9620.0
GUZMAN Y GOMEZ Canberra Centre/ Belconnen/ Gungahl,212,3310.0
Here Collective,211,10130.0
Impact Comics,208,7520.0
Capital Chemist Dickson,205,5630.0
Continental grocery and halal meat,199,7600.0
Bidgee Golf Shop,198,8900.0
Super Emoji Gungahlin,194,5040.0
TG-ONE Groceries,187,6410.0
Ziggys Fresh Belconnen,185,4120.0
PappaRich Canberra,184,4170.0
Asian Provisions,183,5250.0
IGA Drakeford Supermarket,181,5530.0
Fortune Box,180,5650.0
Tackle World Canberra,179,8590.0
bread and butter cafe,176,4070.0
POP Canberra,175,5620.0
Kippax Asian Grocer,175,4880.0
Across The Board Cake Decorating Pty Ltd,174,7450.0
